"ExtId";"Name";"Start";"End";"Resource";"2020-10-12";"2020-10-19";"2020-10-26";"2020-11-02";"2020-11-09";"2020-11-16";"2020-11-23"
1;"1 SOW-345";"2020-11-01";"2020-11-09";"";"";"";"";40.0;1.0;"";""
1.2;"  1.1 SOW-345";"2020-11-01";"2020-11-01";"";"";"";"";"";"";"";""
"1.2.1";"    1.1.0 Invoice Verific";"2020-11-01";"2020-11-01";"";"";"";"";"";"";"";""
1.1;"  1.0 SOW-345";"2020-11-02";"2020-11-09";"";"";"";"";40.0;1.0;"";""
"1.1.1";"    1.0.0 Neusoft B-Sampl";"2020-11-02";"2020-11-09";"";"";"";"";40.0;1.0;"";""
"1.1.1.2";"      1.0.0.1 Hardware Pictur";"2020-11-02";"2020-11-03";"Ahmad_Mumtaz (Ahmad_Mumtaz)";"";"";"";9.0;"";"";""
"1.1.1.3";"      1.0.0.2 Documentation -";"2020-11-03";"2020-11-04";"";"";"";"";8.0;"";"";""
"1.1.1.3.1";"        1.0.0.2.0 New Task";"2020-11-03";"2020-11-04";"Ahmad_Mumtaz (Ahmad_Mumtaz)";"";"";"";8.0;"";"";""
"1.1.1.1";"      1.0.0.0 Invoice Verific";"2020-11-04";"2020-11-09";"Ahmad_Mumtaz (Ahmad_Mumtaz)";"";"";"";23.0;1.0;"";""
